term,pleasure,arousal,dominance
promotion,8.2,6.44,6.79
protected,7.29,4.09,5.8
proud,8.03,5.56,6.74
pungent,3.95,4.24,4.78
punishment,2.22,5.93,3.5
puppy,7.56,5.85,5.51
pus,2.86,4.82,4.35
putrid,2.38,5.74,4.89
python,4.05,6.18,4.52
quality,6.25,4.48,5.64
quarrel,2.93,6.29,4.02
quart,5.39,3.59,5.2
queen,6.44,4.76,5.49
quick,6.64,6.57,6.57
quiet,5.58,2.82,4.42
rabbit,6.57,4.02,6.08
rabies,1.77,6.1,3.85
radiant,6.73,5.39,5.61
radiator,4.67,4.02,4.81
radio,6.73,4.78,5.28
rage,2.41,8.17,5.68
rain,5.08,3.65,4.78
rainbow,8.14,4.64,4.72
rancid,4.34,5.04,4.59
rape,1.25,6.81,2.97
rat,3.02,4.95,4.55
rattle,5.03,4.36,4.17
razor,4.81,5.36,4.91
red,6.41,5.29,5.78
refreshment,7.44,4.45,5.0
regretful,2.28,5.74,3.43
rejected,1.5,6.37,2.72
relaxed,7.0,2.39,5.55
repentant,5.53,4.69,5.42
reptile,4.77,5.18,4.77
rescue,7.7,6.53,6.45
resent,3.76,4.47,4.46
reserved,4.88,3.27,4.3
respect,7.64,5.19,6.89
respectful,7.22,4.6,5.67
restaurant,6.76,5.41,5.73
reunion,6.48,6.34,5.64
reverent,5.35,4.0,4.67
revolt,4.13,6.56,6.18
revolver,4.02,5.55,4.39
reward,7.53,4.95,6.0
riches,7.7,6.17,6.74
ridicule,3.13,5.83,3.87
rifle,4.02,6.35,4.16
rigid,3.66,4.66,4.61
riot,2.96,6.39,4.18
river,6.85,4.51,5.1
roach,2.35,6.64,4.82
robber,2.61,5.62,3.62
rock,5.56,4.52,5.15
rollercoaster,8.02,8.06,5.1
romantic,8.32,7.59,6.08
rotten,2.26,4.53,4.32
rough,4.74,5.33,4.81
rude,2.5,6.31,4.91
runner,5.67,4.76,5.47
rusty,3.86,3.77,4.53
sad,1.61,4.13,3.45
safe,7.07,3.86,5.81
sailboat,7.25,4.88,5.86
saint,6.49,4.49,5.37
salad,5.74,3.81,5.47
salute,5.92,5.31,5.46
sapphire,7.0,5.0,5.55
satisfied,7.94,4.94,6.14
save,6.45,4.95,6.0
savior,7.73,5.8,6.64
scalding,2.82,5.95,3.82
scandal,3.32,5.12,4.34
